,root_idx,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,side,label,condition,condition-side,uniq-condition
0,p13.rsml,12.929473845950726,14.740799936942777,17.278644268945122,21.03876322753238,26.777555113059968,32.798289058070566,38.69276748057913,46.527726944418745,52.40932854754617,61.05302360488862,67.65064392276143,76.03612007860386,83.06105024207069,84.10013301067,84.17913301067,84.29085588209747,L,3,HH,HH-L,homo-high
1,p13.rsml,18.98097469840001,21.22806651661821,24.468339342629577,29.00507441464206,34.2502691059095,40.658173713177064,46.653192445614124,54.33728217619687,60.48350864707799,66.8014880736151,71.52410612463873,80.06766662356573,80.2443159937882,80.3628159937882,80.40231599378819,80.45817742950193,R,3,HH,HH-R,homo-high
2,p15.rsml,15.530731053324274,17.673843877738538,19.467791988405985,21.56945430491324,24.91447376817002,29.880705938128347,35.00755560625288,41.69458932349262,47.520297766420164,53.74681294277713,59.682522868034404,66.44111543885438,72.42940502468971,78.68409670715857,82.68301651834678,82.68301651834678,L,1,LH,LH-L,hetero-low
3,p15.rsml,14.433927769058997,15.546257868444968,17.907935003435203,21.140497760816373,25.829380396285718,31.15518109431841,37.43335557806428,44.73103100950827,50.66385717169047,56.53978737321816,60.84981480932573,68.63492310979271,71.67873067598345,81.38930578768512,83.58466731827637,83.99705942537834,R,1,LH,LH-R,hetero-high
4,p21.rsml,18.728777844087467,20.87001612105023,23.970644202824246,28.24622923847972,33.494988154897136,39.37524728846179,45.74426082203569,53.37671118878202,59.62764572510854,67.45171441097013,74.4500763599206,81.13165636555924,84.46778781773473,84.46778781773473,84.46778781773473,84.46778781773473,L,1,LH,LH-L,hetero-low
5,p21.rsml,15.515325046038878,17.515432910037713,20.97881292349601,25.628485380270316,31.12704224183128,37.60797318067817,43.91256922327135,46.47912828331864,48.044245691055195,53.10410164256211,58.47668249351262,63.17734845696928,69.65835842841663,77.87521295128607,80.73262231117835,81.05834765560215,R,1,LH,LH-R,hetero-high
6,p26.rsml,17.769338130744003,19.356535317227884,21.161005713892504,25.19068521905009,28.5399002887539,33.02198425096681,37.485798126209914,41.63345963030008,46.15510576054,51.585361905056224,56.94575934483656,63.00043324581226,68.85030965879967,75.20022063712939,80.48635066757598,83.36307353900345,L,0,LL,LL-L,homo-low
7,p26.rsml,14.012617318059,14.515370239482642,15.06977915896356,16.064363745612678,17.291409486406394,18.121849430050723,20.402126210819013,22.969794011482282,25.100133933362468,28.31512449755406,31.44186825104586,35.63667306773104,39.44712809565402,44.99428539271566,49.40006771634232,51.69413032446792,R,0,LL,LL-R,homo-low
8,p27.rsml,24.523647495029728,26.703913698610023,28.889444513019374,31.752024567989316,36.39175635143888,42.16894793077677,48.79975384557598,55.41099760069138,61.94680360881727,68.33841868373352,75.4350072923516,82.6548946217946,87.27199454531782,87.31149454531781,87.31149454531781,87.31149454531781,L,1,LH,LH-L,hetero-low
9,p27.rsml,25.234485508928223,27.039545275270115,30.60623467645107,34.91631296238643,40.64165857131162,46.843744579967726,54.053202675879206,61.83477137485208,69.67086387906275,77.9862159998376,85.61633186913281,89.7763208106358,90.72514337044348,90.72514337044348,90.72514337044348,90.72514337044348,R,1,LH,LH-R,hetero-high
10,p31.rsml,19.451033728826474,21.901307591071262,25.22024793401206,30.134324692209052,35.80828071054476,43.1191692004297,49.68110444731037,57.84861220421375,65.66610849684318,74.97375280490144,81.45911831010213,83.31121012832033,83.31121012832033,83.31121012832033,83.31121012832033,83.31121012832033,L,3,HH,HH-L,homo-high
11,p31.rsml,12.662674529210749,14.28410021360088,16.50153769718873,20.42379023877756,25.74963941137431,31.86220722932571,38.356682630851715,46.420053500936014,53.087673999648885,62.49628039689502,68.88279541222198,74.81108616504441,79.23667293405032,81.4490255845109,81.4490255845109,81.4490255845109,R,3,HH,HH-R,homo-high
12,p32.rsml,21.476961288141744,24.60237317574844,26.524526135322677,29.733633218255978,34.426282305454954,39.63460070312583,44.98517606621964,50.309916042669,56.05295107535634,63.37472056004904,68.3522276067235,75.41497092735553,81.0803321109893,83.19717939907854,83.19717939907854,83.19717939907854,L,0,LL,LL-L,homo-low
13,p32.rsml,27.998291807157337,30.54964658829531,33.08913689386007,36.283654293385624,40.3711853234476,45.20625817467622,50.258745037037286,56.35158936903964,61.62148407527995,67.63715236774989,72.26944318871526,78.67309394191608,84.76346609746618,88.70008775079818,89.29783121583984,89.37683121583984,R,0,LL,LL-R,homo-low
14,p33.rsml,27.030752547213634,29.699916357482383,33.465235039836834,37.608947898995574,43.52017969982712,49.801978061939046,57.12249853950646,64.15035034305106,71.09438658479095,78.97232045715171,81.95298960386432,81.95298960386432,81.95298960386432,81.95298960386432,81.95298960386432,81.95298960386432,L,1,LH,LH-L,hetero-low
15,p33.rsml,25.709936388370274,28.369643044942592,32.24912229919575,37.73675020869872,44.0673426406708,51.44764327274987,58.77149646196756,67.00339237403766,73.01449281520799,79.02680285378717,84.7577070145632,84.9252913217044,84.9252913217044,84.9252913217044,84.9252913217044,84.9252913217044,R,1,LH,LH-R,hetero-high
16,p37.rsml,17.184214775616887,19.660369832198338,23.209258933460706,28.014754871558438,33.433816786106384,39.36151216960761,46.06551718025683,54.21776378829082,61.726784727502405,71.08753108047665,77.68314901547778,85.5420311114074,85.5420311114074,85.6605311114074,85.6605311114074,85.6605311114074,L,3,HH,HH-L,homo-high
17,p37.rsml,28.168857872339064,30.528891405846515,34.62644060265276,39.54514594754153,44.90463457732628,50.80102252750499,57.53403237765834,64.37773252786174,71.2291615543304,80.89040305394555,87.06034745479847,93.83009048972349,93.83009048972349,93.83009048972349,93.83009048972349,93.83009048972349,R,3,HH,HH-R,homo-high
18,p38.rsml,16.84000470099496,17.87003868101698,19.249714367546247,19.953698350294747,21.353165705022143,22.69616570502214,23.595593724785765,25.498165668234947,28.353116806170586,32.20488672096681,35.336220730118754,39.771292422920595,43.81747931996549,49.719867602302195,54.69545563480738,56.91309131273106,L,0,LL,LL-L,homo-low
19,p38.rsml,20.61976758764292,22.668556634534045,24.80770588031475,26.104311393308382,27.84926398506855,29.411307208813433,31.550151055381015,34.58934173712509,38.536380545472525,43.69504551505563,47.6158935324604,53.14375217792723,58.334590534720306,63.87725073349225,69.6953306771279,72.19826576045102,R,0,LL,LL-R,homo-low
20,p39.rsml,17.73867598287505,19.399555870163713,20.53827874159119,21.55192394128397,23.297090981999556,26.157638374618482,29.904490976052926,34.95306314843556,40.59913658529807,48.168711683423325,53.12637860739151,60.6868532780917,66.84319890792528,74.75052804552843,77.50197378838338,77.50197378838338,L,1,LH,LH-L,hetero-low
21,p39.rsml,20.84399498727039,22.3579326511126,24.989930418112863,28.43225753102962,32.81925450622694,38.13830783781376,43.026748671979185,49.35795625012893,52.63859711739861,54.81253300651771,57.3321871990608,61.44765928356118,65.61553614602032,69.41164849946826,72.69395352033392,76.57783006317099,R,1,LH,LH-R,hetero-high
22,p52.rsml,20.995573152237597,22.330136714045956,25.078543318489757,29.5272648189882,34.989324790548544,41.09956417700074,47.79680043236048,55.99748015042219,62.63233447449886,71.2485562595749,77.88510092061128,85.64595497756584,89.77228512460525,89.93514779681715,90.06005776439379,90.06005776439379,L,3,HH,HH-L,homo-high
23,p52.rsml,16.70434041151611,18.548743989435135,21.412194678282727,24.675216911424716,29.311638237329742,35.31392129116826,41.96190244883785,49.27207764927209,56.044750754088305,64.69347887660113,68.95761216468769,71.28945076330467,78.21912880393194,85.71178396985702,86.28691265111019,86.28691265111019,R,3,HH,HH-R,homo-high
24,p53.rsml,22.129177850359653,24.39132443444121,26.976702890576135,29.291403393813393,32.443923411388376,35.73411268606428,38.78434980972729,42.91609429302721,47.407874800068946,53.04259799835127,56.76967386935107,61.61092132418159,66.12749624032107,70.793514725068,74.32572305093909,75.70878722154,L,0,LL,LL-L,homo-low
25,p53.rsml,26.59339959843976,28.935512017611643,31.901347248984408,34.52679889584003,38.42152568148403,43.018356603876626,47.9121585626707,53.76003987151499,59.23454949195218,65.9855389841145,70.65051858432606,74.58889593459666,78.2880029214247,80.93479768112935,84.01807568513742,84.14298565271407,R,0,LL,LL-R,homo-low
26,p54.rsml,14.879537853963615,16.065196004528104,17.657491909817068,19.058489590043557,21.91406411379219,26.841838910080668,31.78764531908588,37.55622184045403,43.64079663714165,50.71945464739227,56.10487730372703,63.03256272798225,69.13724416976417,75.7683196057197,77.98172987044694,77.98172987044694,L,1,LH,LH-L,hetero-low
27,p54.rsml,25.828546545423418,27.82567522667658,31.10631584268903,36.46177039887603,42.03335445307969,48.87031015130399,51.6476098276609,60.798214581316934,69.5291443284859,80.996398873421,87.79051369803207,87.99192496881899,88.19333623960591,88.39338379614462,88.55624646835652,88.55624646835652,R,1,LH,LH-R,hetero-high
28,p59.rsml,19.83323577171145,21.711044334904194,23.333261437464753,25.569270006006573,29.162493428652617,33.25143840449325,36.987997885719665,41.082265202777286,45.442410393049414,51.27440102299522,55.572010701907416,61.67314899513211,66.76079292247856,73.08816377923506,78.95757076521852,81.55693310995528,L,0,LL,LL-L,homo-low
29,p59.rsml,16.540340444767015,17.962340444767015,19.550220792904117,21.513554284150924,24.75351755554768,28.488398494542757,31.267107402388984,33.82683069557813,36.60560433691929,41.203194820989765,44.334106991877896,48.71513286031371,52.77035539778103,57.94261212471915,60.784921142059005,63.07898375018461,R,0,LL,LL-R,homo-low
30,p60.rsml,14.032872946431102,15.299339290239732,16.573176014470903,17.893124125138357,20.185485789448766,23.753999211086466,28.529105924665846,35.2981420400492,41.60559610964281,49.882070770166855,56.65075840044969,64.84950241670259,71.90491328596765,79.99702676350935,87.69933248193219,87.85733248193219,L,2,HL,HL-L,hetero-high
31,p60.rsml,18.690968277054044,19.857389298812482,21.46794753123467,22.323393274089618,24.457855735694416,26.9360317689658,30.54629099573073,34.76397671445504,38.87312581905693,44.72640513473361,49.11854753406458,55.48572953232157,61.160714640218565,68.01219894045998,73.8410037248301,76.4126258442358,R,2,HL,HL-R,hetero-low
32,p66.rsml,21.576298229967698,24.04469672594966,27.06505324443257,31.267233398525608,36.75221972474369,43.39875075902304,50.137551363189445,58.19665928723952,65.30751898705645,75.11799987681849,81.65479432859536,88.00608169356536,88.00608169356536,88.00608169356536,88.00608169356536,88.00608169356536,L,2,HL,HL-L,hetero-high
33,p66.rsml,22.74664529604659,24.764621591926677,27.746200116485586,30.77426612269369,34.15040698716941,38.81057250216767,44.41417776592512,50.86811820555327,56.2298332019752,64.41865724597251,68.97414318047069,75.48200867392673,81.61555241157284,85.3613849374305,85.48629490500714,85.48629490500714,R,2,HL,HL-R,hetero-low
34,p69.rsml,17.175833107191185,19.691799966228874,22.89110448147032,26.364054534488837,31.60567964536214,37.49613165410026,43.64571631941405,51.23655556249828,58.087227390273696,67.49992657834457,74.33580334348429,83.11705057371482,88.31809904592704,88.35759904592705,88.35759904592705,88.35759904592705,L,3,HH,HH-L,homo-high
35,p69.rsml,17.830829413876053,20.166072970129235,23.297626344554125,27.155418787223926,32.24040693599394,38.57320858345938,45.267536856455614,52.16952977134642,58.339557868211166,64.90140709359873,77.99936108587376,83.53074781628236,90.4200732549592,90.68301899781416,90.90329040110456,90.99161508621579,R,3,HH,HH-R,homo-high
36,p70.rsml,17.530186024525864,19.651605534546377,22.776526340533692,27.465090663057783,32.12797055034645,38.361186764881566,44.60053434676855,51.74223036387913,58.35329237244204,67.04460661451208,72.8768993299847,81.11174105025819,88.11355381010755,91.07365954721968,91.11315954721968,91.15265954721968,L,2,HL,HL-L,hetero-high
37,p70.rsml,11.4244285397459,13.267649278619377,15.553362808399504,18.914496215827008,24.1757255319084,29.3690785261608,34.84455951536098,41.65342248050192,47.05916991987175,53.745423088795945,58.96694291704143,67.30610207611386,73.42742353031254,79.72630806699699,79.9395427196849,80.02786740479614,R,2,HL,HL-R,hetero-low
38,p73.rsml,19.612265113343252,20.876265113343255,23.46806545853173,26.93681692119153,31.59901034063258,38.22187716990385,45.055440349774265,53.26250615188275,59.82811061664906,69.31108211759569,75.91951852312563,84.76258482131152,87.86604962703464,88.50296798915024,88.50296798915024,88.50296798915024,L,3,HH,HH-L,homo-high
39,p73.rsml,14.268611434143995,15.616295700711387,18.204370130393073,20.786237244858647,24.437639907246535,30.596013733824385,36.80802770066879,43.97677701849366,50.40807696414832,59.63756666726448,65.52993792966586,72.2558178669191,77.94724565351186,85.90598105871285,87.26342544063058,87.34242544063059,R,3,HH,HH-R,homo-high
40,p74.rsml,24.793993969002624,26.617850597139824,28.723577744845624,31.87129852402562,36.36240625150842,42.286799978019154,48.83273291316233,57.0640868901033,63.71524209326948,72.53163488764291,78.69939540630116,86.20333426916068,86.37998363938316,86.43584507509689,86.49170651081063,86.49170651081063,L,2,HL,HL-L,hetero-high
41,p74.rsml,21.339602005917122,22.414045113293504,23.829461126891985,24.819328289697175,27.313777527504993,30.57992141465527,35.23022736730378,40.11435388311928,44.92842328328611,51.53966672952027,56.13709188568956,62.58882401718853,68.12925455133893,74.78965727976143,80.7414245642773,82.91263734603226,R,2,HL,HL-R,hetero-low
42,p77.rsml,22.990786456256508,24.636232199111454,27.50948552521377,31.52699255832556,36.86586000760465,41.93080702165682,48.1486104640791,55.59718974368753,62.38258445703771,70.60661933501227,76.75875442470957,84.99403047781816,91.41150293740274,91.49982762251398,91.58815230762522,91.58815230762522,L,3,HH,HH-L,homo-high
43,p77.rsml,16.339240418484582,17.605706762293213,20.502631622521783,23.902137549277455,28.74387226173874,34.484513387976946,40.926499778163034,46.673216631318354,54.914326246819336,64.8091646888831,71.4075566331374,80.53214213057234,87.87956684947896,88.03756684947896,88.07706684947897,88.20197681705561,R,3,HH,HH-R,homo-high
44,p78.rsml,32.85173775809232,35.09416577785595,38.84273526755115,44.2138497973567,50.12460140125596,56.79652385361142,63.995554014297774,71.85085434381227,78.87138763061432,87.75940040162212,88.0778595826799,88.13372101839364,88.13372101839364,88.13372101839364,88.13372101839364,88.13372101839364,L,2,HL,HL-L,hetero-high
